county,fips,svprec_key,cddist,sddist,bedist,totreg,totvote,demvote,repvote
1,6001,6001200100,12,7,2,3535,256,102,0
1,6001,6001200200,12,7,2,2442,262,108,0
1,6001,6001201400,12,7,2,3773,283,139,0
1,6001,6001202200,12,7,2,541,89,35,0
1,6001,6001202500,12,7,2,1105,394,172,0
1,6001,6001202620,12,7,2,948,837,366,0
1,6001,6001203100,12,7,2,2721,140,74,0
1,6001,6001203500,12,7,2,2067,281,131,0
1,6001,6001203800,12,7,2,2329,196,88,0
1,6001,6001203880,12,7,2,37,3,NA,NA
1,6001,6001204210,12,7,2,2153,542,229,0
1,6001,6001204300,12,7,2,2625,336,167,0
1,6001,6001204900,12,7,2,1074,461,209,0
1,6001,6001205200,12,7,2,4322,181,80,0
1,6001,6001205700,12,7,2,3683,225,130,0
1,6001,6001206200,12,7,2,2148,197,90,0
1,6001,6001206900,12,7,2,1448,185,76,0
1,6001,6001207000,12,7,2,1983,135,69,0
1,6001,6001207200,12,7,2,2522,208,101,0
1,6001,6001207700,12,7,2,2802,804,325,0
1,6001,6001208010,12,7,2,3594,275,138,0
1,6001,6001208300,12,7,2,3642,345,187,0
1,6001,6001208510,12,7,2,2566,331,180,0
1,6001,6001208800,12,7,2,1483,167,101,0
1,6001,6001208820,12,7,2,434,37,24,0
1,6001,6001208900,12,7,2,1414,115,73,0
1,6001,6001209010,12,7,2,4160,291,169,0
1,6001,6001209310,12,7,2,5541,362,196,0
1,6001,6001209700,12,7,2,2688,224,111,0
1,6001,6001209900,12,7,2,4450,536,270,0
1,6001,6001213100,12,7,2,1174,82,31,0
1,6001,6001213500,12,7,2,3263,182,74,0
1,6001,6001213600,12,7,2,4192,257,112,0
1,6001,6001213920,12,7,2,55,3,NA,NA
1,6001,6001214300,12,7,2,2011,119,56,0
1,6001,6001214600,12,7,2,3425,188,112,0
1,6001,6001215110,12,7,2,3109,252,149,0
1,6001,6001215400,12,7,2,1473,106,61,0
1,6001,6001215500,12,7,2,3728,269,132,0
1,6001,6001215700,12,7,2,3142,250,162,0
1,6001,6001215800,12,7,2,2004,231,146,0
1,6001,6001223010,12,7,2,4152,285,150,0
1,6001,6001224000,12,7,2,4363,202,124,0
1,6001,6001224500,12,7,2,1928,101,57,0
1,6001,6001224600,12,7,2,2466,123,62,0
1,6001,6001224800,12,7,2,1585,129,82,0
1,6001,6001225300,12,7,2,2057,163,99,0
1,6001,6001225710,12,7,2,3240,242,150,0
1,6001,6001225900,12,7,2,2777,180,113,0
1,6001,6001244000,12,7,2,3056,171,67,0
1,6001,6001244300,12,7,2,5305,344,138,0
1,6001,6001245000,12,7,2,2535,114,62,0
1,6001,6001245300,12,7,2,2051,107,50,0
1,6001,6001260100,12,7,2,3832,409,182,0
1,6001,6001261300,12,7,2,3891,277,126,0
1,6001,6001262000,12,7,2,4302,306,139,0
1,6001,6001280100,12,7,2,4629,310,115,0
1,6001,6001280700,12,7,2,4342,280,89,0
1,6001,6001300110,12,7,2,2415,119,30,0
1,6001,6001300130,12,7,2,3176,166,43,0
1,6001,6001300150,12,7,2,4708,185,50,0
1,6001,6001300300,12,7,2,4152,239,110,0
1,6001,6001301900,12,7,2,5255,409,178,0
1,6001,6001302200,12,7,2,5038,315,141,0
1,6001,6001302700,12,7,2,4301,420,176,0
1,6001,6001303800,12,7,2,4732,436,172,0
1,6001,6001304800,12,7,2,5756,538,234,0
1,6001,6001305110,12,7,2,4206,395,165,0
1,6001,6001305500,12,7,2,4127,384,186,0
1,6001,6001305700,12,7,2,4603,343,131,0
1,6001,6001310000,12,7,2,4651,439,260,0
1,6001,6001310120,12,7,2,30,3,NA,NA
1,6001,6001310600,12,7,2,4165,380,256,0
1,6001,6001311400,12,7,2,4431,360,261,0
1,6001,6001323200,12,7,2,3915,306,201,0
1,6001,6001325100,12,7,2,4459,438,289,0
1,6001,6001325400,12,7,2,2973,289,187,0
1,6001,6001325600,12,7,2,3203,320,193,0
1,6001,6001333200,12,7,2,3675,440,282,0
1,6001,6001333210,12,7,2,544,39,27,0
1,6001,6001333410,12,7,2,3397,250,135,0
1,6001,6001333460,12,7,2,218,59,41,0
1,6001,6001333810,12,7,2,1471,94,53,0
1,6001,6001333900,12,7,2,2149,168,100,0
1,6001,6001333910,12,7,2,1155,176,109,0
1,6001,6001334000,12,7,2,2575,200,132,0
1,6001,6001334510,12,7,2,214,23,17,0
1,6001,6001334610,12,7,2,142,5,NA,NA
1,6001,6001334800,12,7,2,2552,217,115,0
1,6001,6001335100,12,7,2,3867,436,272,0
1,6001,6001335110,12,7,2,262,22,12,0
1,6001,6001335400,12,7,2,3147,403,274,0
1,6001,6001335700,12,7,2,2497,362,225,0
1,6001,6001335710,12,7,2,3070,386,247,0
1,6001,6001335810,12,7,2,226,13,10,0
1,6001,6001336200,12,7,2,4191,530,345,0
1,6001,6001336610,12,7,2,3667,426,288,0
1,6001,6001336710,12,7,2,3309,374,255,0
1,6001,6001336900,12,7,2,1766,201,134,0
1,6001,6001344000,12,7,2,2775,260,162,0
1,6001,6001344200,12,7,2,2969,197,121,0
1,6001,6001344410,12,7,2,850,54,34,0
1,6001,6001344700,12,7,2,2125,97,46,0
1,6001,6001345310,12,7,2,851,126,70,0
1,6001,6001345320,12,7,2,21,3,NA,NA
1,6001,6001345500,12,7,2,4378,300,207,0
1,6001,6001345700,12,7,2,2262,121,75,0
1,6001,6001345900,12,7,2,2212,145,70,0
1,6001,6001346000,12,7,2,544,27,9,0
1,6001,6001346100,12,7,2,2534,186,118,0
1,6001,6001347200,12,7,2,3606,273,161,0
1,6001,6001353310,12,7,2,3341,251,159,0
1,6001,6001353900,12,7,2,3894,295,180,0
1,6001,6001354100,12,7,2,1207,84,54,0
1,6001,6001354300,12,7,2,1740,133,74,0
1,6001,6001354400,12,7,2,2769,209,117,0
1,6001,6001354700,12,7,2,3037,269,157,0
1,6001,6001354910,12,7,2,3039,217,111,0
1,6001,6001355100,12,7,2,2175,170,94,0
1,6001,6001356000,12,7,2,4257,313,173,0
1,6001,6001356410,12,7,2,2324,211,120,0
1,6001,6001361000,12,7,2,835,74,41,0
1,6001,6001361100,12,7,2,355,32,18,0
1,6001,6001361130,12,7,2,1345,109,64,0
1,6001,6001361200,12,7,2,1658,174,108,0
1,6001,6001361500,12,7,2,5824,639,379,0
1,6001,6001362200,12,7,2,2079,179,109,0
1,6001,6001362220,12,7,2,28,2,NA,NA
1,6001,6001362500,12,7,2,1119,124,86,0
1,6001,6001362510,12,7,2,1637,129,81,0
1,6001,6001362600,12,7,2,3756,263,175,0
1,6001,6001362800,12,7,2,2036,167,103,0
1,6001,6001363000,12,7,2,2753,251,164,0
1,6001,6001363200,12,7,2,2482,243,153,0
1,6001,6001364020,12,7,2,11,1,NA,NA
1,6001,6001364200,12,7,2,1308,48,26,0
1,6001,6001364310,12,7,2,3063,216,114,0
1,6001,6001364510,12,7,2,923,56,37,0
1,6001,6001364600,12,7,2,1502,139,75,0
1,6001,6001364800,12,7,2,1748,143,99,0
1,6001,6001365100,12,7,2,3681,316,198,0
1,6001,6001365200,12,7,2,2702,264,157,0
1,6001,6001373010,12,7,2,1,1,NA,NA
1,6001,6001373100,12,7,2,872,87,46,0
1,6001,6001380300,12,7,2,3273,418,263,0
1,6001,6001380400,12,7,2,3913,482,261,0
1,6001,6001400100,12,7,2,757,45,22,0
1,6001,6001400200,12,7,2,2388,154,96,0
1,6001,6001400300,12,7,2,2046,156,98,0
1,6001,6001401200,12,7,2,509,46,32,0
1,6001,6001410500,12,7,2,5878,536,314,0
1,6001,6001410700,12,7,2,4999,453,305,0
1,6001,6001415300,12,7,2,2184,199,112,0
1,6001,6001415800,12,7,2,3911,376,223,0
1,6001,6001420030,14,10,2,138,8,NA,NA
1,6001,6001420220,14,10,2,24,3,NA,NA
1,6001,6001420250,14,10,2,1692,125,65,43
1,6001,6001420300,14,10,2,210,12,7,2
1,6001,6001420310,14,10,2,40,3,NA,NA
1,6001,6001420710,14,10,2,61,6,NA,NA
1,6001,6001420800,14,10,2,677,38,20,14
1,6001,6001420900,14,10,2,2131,184,104,64
1,6001,6001421800,14,10,2,4910,525,293,167
1,6001,6001422000,14,10,2,4649,342,181,122
1,6001,6001422300,14,10,2,4021,356,192,134
1,6001,6001422600,14,10,2,5448,399,215,128
1,6001,6001422920,14,10,2,4925,406,188,178
1,6001,6001423000,14,10,2,4429,417,220,151
1,6001,6001423710,14,10,2,3198,296,159,107
1,6001,6001423800,14,10,2,6,1,NA,NA
1,6001,6001424200,14,10,2,79,3,NA,NA
1,6001,6001424310,14,10,2,39,6,NA,NA
